S,B,latency_s,peak_memory_bytes,energy_j,status,energy_method,energy_j_from_counter,energy_j_from_power,is_validation,repeats,latency_repeats,latency_window_s,warmup_repeats,warmup_window_s,oom_retries,latency_mad_s,power_samples,distinct_power_readings,power_window_s,free_memory_bytes_before,gpu_temp_c_before,gpu_temp_c_after,sm_clock_mhz_before,sm_clock_mhz_after,power_w_before,power_w_after,measurement_warning,trial_count,latency_trial_mad_s,energy_trial_mad_j,peak_memory_range_bytes
384,252,0.2936758800000234,3365412864,19.6064,ok,nvml_counter,19.6064,19.59294665300539,1,60,60,5.878762059999872,60,5.885522725999863,0,0.0005106754999815166,693,42,5.87871744999984,15471542272,76.0,77.0,1560.0,690.0,38.783,71.065,,3,0.00013116399998125416,0.0016999999999995907,0
448,229,0.39317107950012087,4303093760,25.9852,ok,nvml_counter,25.9852,26.180929953770978,1,60,60,7.858815380000124,60,7.870232293000072,0,0.0009107289999974455,929,53,7.849034996,15471542272,76.0,76.0,1575.0,690.0,40.341,69.833,,3,0.0013398110002071917,0.031399999999997874,0
384,16,0.012491952999994282,227639296,0.8143692946058092,ok,nvml_counter,0.8143692946058092,0.8282982315597118,0,723,121,0.5009564400002091,123,0.5068663829999878,0,4.031749995192513e-05,368,18,3.0117538929998773,15471542272,76.0,77.0,1560.0,900.0,36.729,66.007,,3,3.5319999369676225e-06,0.0011991701244814523,0
32,252,0.004322316999946452,102678528,0.29134244604316545,ok,nvml_counter,0.29134244604316545,0.28944834826748056,1,2087,349,0.5018978499999776,350,0.5003189859999111,0,2.4868499963304203e-05,374,16,3.002752135000037,15471542272,76.0,77.0,1545.0,1065.0,36.532,66.538,,3,5.149499997969542e-06,6.187050359718338e-05,0
448,8,0.009234014000185198,123961344,0.6210184615384615,ok,nvml_counter,0.6210184615384615,0.6120872011907662,1,974,165,0.5083851099998355,168,0.5088040890000229,0,2.4295999992318684e-05,371,21,3.0050290159999804,15471542272,76.0,77.0,1560.0,885.0,35.839,65.026,,3,4.513999783739564e-06,0.0005772174738841729,0
112,252,0.02985046499998134,394727424,2.012920792079208,ok,nvml_counter,2.012920792079208,2.0011968588782163,1,303,60,0.599712135000118,60,0.5930729520000568,0,0.00018548549996921793,366,19,3.0221148170001015,15471542272,76.0,77.0,1560.0,870.0,40.143,66.734,,3,4.2723000092337315e-05,0.0005742574257423527,0
448,128,0.20785893799995847,2343788544,13.876499999999998,ok,nvml_counter,13.876499999999998,13.881029331515524,1,60,60,4.161878627000078,60,4.1677350160000515,0,0.0005678164999380897,491,31,4.15971553899999,15471542272,76.0,77.0,1545.0,780.0,38.684,67.871,,3,1.9249499928264413e-05,0.004499999999998394,0
32,256,0.004313960000104089,103669760,0.2911120689655172,ok,nvml_counter,0.2911120689655172,0.2891991608783847,0,2089,349,0.5008927349999794,352,0.5028307150000728,0,1.382699997520831e-05,376,17,3.0031863300000623,15471542272,76.0,77.0,1560.0,1050.0,36.807,66.105,,3,1.0369998335590935e-06,0.0002485632183908404,0
272,1,0.0006162059999041958,19938304,0.04193225270157938,ok,nvml_counter,0.04193225270157938,0.04192525717955707,1,14369,2399,0.50033920199985,2405,0.5002306679998583,0,3.5900000057154102e-06,384,18,3.0001476399997955,15471542272,77.0,77.0,1575.0,1245.0,40.044,65.065,,3,1.6880001112440368e-06,0.0002950105223386637,0
224,2,0.0007698215001710196,21308928,0.052459143968871594,ok,nvml_counter,0.052459143968871594,0.052030461755707,0,11594,1928,0.500548618999801,1950,0.5001442649995624,0,8.522999905835604e-06,385,20,3.000519900999734,15471542272,76.0,77.0,1575.0,1215.0,41.427,66.792,,3,1.212499910252518e-06,2.519462807378664e-05,0
224,32,0.008996931999945446,174673920,0.6093522388059702,ok,nvml_counter,0.6093522388059702,0.6054747790464475,0,1006,168,0.5020299530001466,171,0.5041185569998561,0,9.381050017509551e-05,369,19,3.0019754200002353,15471542272,76.0,76.0,1560.0,885.0,37.125,67.871,,3,1.9328500229676138e-05,0.0015399767628920813,0
